2022/12/22 21:46:40 ======================================================
2022/12/22 21:47:20 Epoch#0: total loss=38.0264, Cls_loss=10.0954, Reg_loss=2.7931, Err_test=0.7363, lr = 0.000350
2022/12/22 21:47:57 Epoch#1: total loss=5.4702, Cls_loss=3.6566, Reg_loss=0.1814, Err_test=0.5012, lr = 0.000350
2022/12/22 21:48:34 Epoch#2: total loss=4.5933, Cls_loss=3.1069, Reg_loss=0.1486, Err_test=0.4321, lr = 0.000350
2022/12/22 21:49:12 Epoch#3: total loss=3.9528, Cls_loss=2.7362, Reg_loss=0.1217, Err_test=0.3448, lr = 0.000350
2022/12/22 21:49:49 Epoch#4: total loss=3.6751, Cls_loss=2.5774, Reg_loss=0.1098, Err_test=0.3456, lr = 0.000350
2022/12/22 21:50:27 Epoch#5: total loss=3.4094, Cls_loss=2.4495, Reg_loss=0.0960, Err_test=0.2355, lr = 0.000350
2022/12/22 21:51:04 Epoch#6: total loss=3.3102, Cls_loss=2.4493, Reg_loss=0.0861, Err_test=0.2327, lr = 0.000350
2022/12/22 21:51:42 Epoch#7: total loss=3.2878, Cls_loss=2.4491, Reg_loss=0.0839, Err_test=0.2224, lr = 0.000350
2022/12/22 21:52:19 Epoch#8: total loss=3.2563, Cls_loss=2.4272, Reg_loss=0.0829, Err_test=0.2246, lr = 0.000350
2022/12/22 21:52:56 Epoch#9: total loss=2.9547, Cls_loss=2.1786, Reg_loss=0.0776, Err_test=0.1935, lr = 0.000350
2022/12/22 21:53:34 Epoch#10: total loss=2.8797, Cls_loss=2.1636, Reg_loss=0.0716, Err_test=0.1990, lr = 0.000014
2022/12/22 21:54:11 Epoch#11: total loss=2.7801, Cls_loss=2.1636, Reg_loss=0.0617, Err_test=0.1659, lr = 0.000070
2022/12/22 21:54:49 Epoch#12: total loss=2.7445, Cls_loss=2.1635, Reg_loss=0.0581, Err_test=0.1648, lr = 0.000070
2022/12/22 21:55:27 Epoch#13: total loss=2.7238, Cls_loss=2.1635, Reg_loss=0.0560, Err_test=0.1644, lr = 0.000070
2022/12/22 21:56:04 Epoch#14: total loss=2.7190, Cls_loss=2.1635, Reg_loss=0.0555, Err_test=0.1620, lr = 0.000070
2022/12/22 21:56:43 Epoch#15: total loss=2.6857, Cls_loss=2.1635, Reg_loss=0.0522, Err_test=0.1617, lr = 0.000070
2022/12/22 21:57:21 Epoch#16: total loss=2.6798, Cls_loss=2.1635, Reg_loss=0.0516, Err_test=0.1617, lr = 0.000070
2022/12/22 21:57:58 Epoch#17: total loss=2.6572, Cls_loss=2.1635, Reg_loss=0.0494, Err_test=0.1574, lr = 0.000070
2022/12/22 21:58:36 Epoch#18: total loss=2.6552, Cls_loss=2.1635, Reg_loss=0.0492, Err_test=0.1581, lr = 0.000070
2022/12/22 21:59:13 Epoch#19: total loss=2.6514, Cls_loss=2.1634, Reg_loss=0.0488, Err_test=0.1572, lr = 0.000070
2022/12/22 21:59:51 Epoch#20: total loss=2.6397, Cls_loss=2.1634, Reg_loss=0.0476, Err_test=0.1553, lr = 0.000003
2022/12/22 22:00:28 Epoch#21: total loss=2.6006, Cls_loss=2.1634, Reg_loss=0.0437, Err_test=0.1511, lr = 0.000014
2022/12/22 22:01:06 Epoch#22: total loss=2.5837, Cls_loss=2.1634, Reg_loss=0.0420, Err_test=0.1506, lr = 0.000014
2022/12/22 22:01:43 Epoch#23: total loss=2.5723, Cls_loss=2.1634, Reg_loss=0.0409, Err_test=0.1507, lr = 0.000014
2022/12/22 22:02:21 Epoch#24: total loss=2.5787, Cls_loss=2.1634, Reg_loss=0.0415, Err_test=0.1515, lr = 0.000014
2022/12/22 22:02:59 Epoch#25: total loss=2.5725, Cls_loss=2.1634, Reg_loss=0.0409, Err_test=0.1512, lr = 0.000014
2022/12/22 22:03:36 Epoch#26: total loss=2.5670, Cls_loss=2.1634, Reg_loss=0.0404, Err_test=0.1504, lr = 0.000014
2022/12/22 22:04:14 Epoch#27: total loss=2.5662, Cls_loss=2.1634, Reg_loss=0.0403, Err_test=0.1508, lr = 0.000014
2022/12/22 22:04:51 Epoch#28: total loss=2.5633, Cls_loss=2.1634, Reg_loss=0.0400, Err_test=0.1506, lr = 0.000014
2022/12/22 22:05:29 Epoch#29: total loss=2.5592, Cls_loss=2.1634, Reg_loss=0.0396, Err_test=0.1505, lr = 0.000014
2022/12/22 22:06:06 Epoch#30: total loss=2.5497, Cls_loss=2.1634, Reg_loss=0.0386, Err_test=0.1493, lr = 0.000001
2022/12/22 22:06:45 Epoch#31: total loss=2.5399, Cls_loss=2.1634, Reg_loss=0.0376, Err_test=0.1486, lr = 0.000003
2022/12/22 22:07:23 Epoch#32: total loss=2.5376, Cls_loss=2.1634, Reg_loss=0.0374, Err_test=0.1487, lr = 0.000003
2022/12/22 22:08:01 Epoch#33: total loss=2.5352, Cls_loss=2.1634, Reg_loss=0.0372, Err_test=0.1486, lr = 0.000003
2022/12/22 22:08:39 Epoch#34: total loss=2.5367, Cls_loss=2.1634, Reg_loss=0.0373, Err_test=0.1485, lr = 0.000003
2022/12/23 09:46:17 ======================================================
2022/12/23 09:47:03 Epoch#0: total loss=22.0784, Cls_loss=6.5599, Reg_loss=1.5518, Err_test=0.5027, lr = 0.000350
2022/12/23 09:47:40 Epoch#1: total loss=3.8425, Cls_loss=2.4684, Reg_loss=0.1374, Err_test=0.3195, lr = 0.000350
2022/12/23 09:48:17 Epoch#2: total loss=3.5711, Cls_loss=2.4499, Reg_loss=0.1121, Err_test=0.2581, lr = 0.000350
2022/12/23 09:48:53 Epoch#3: total loss=3.4712, Cls_loss=2.4496, Reg_loss=0.1022, Err_test=0.2666, lr = 0.000350
2022/12/23 09:49:30 Epoch#4: total loss=3.4089, Cls_loss=2.4494, Reg_loss=0.0959, Err_test=0.2367, lr = 0.000350
2022/12/23 09:50:06 Epoch#5: total loss=3.3378, Cls_loss=2.4493, Reg_loss=0.0889, Err_test=0.2370, lr = 0.000350
2022/12/23 09:50:43 Epoch#6: total loss=3.2725, Cls_loss=2.4492, Reg_loss=0.0823, Err_test=0.1929, lr = 0.000350
2022/12/23 09:51:19 Epoch#7: total loss=3.2565, Cls_loss=2.4492, Reg_loss=0.0807, Err_test=0.1933, lr = 0.000350
2022/12/23 09:51:56 Epoch#8: total loss=3.2139, Cls_loss=2.4491, Reg_loss=0.0765, Err_test=0.2064, lr = 0.000350
2022/12/23 09:52:32 Epoch#9: total loss=3.1796, Cls_loss=2.4491, Reg_loss=0.0731, Err_test=0.1814, lr = 0.000350
2022/12/23 09:53:10 Epoch#10: total loss=3.1821, Cls_loss=2.4491, Reg_loss=0.0733, Err_test=0.1899, lr = 0.000014
2022/12/23 09:53:46 Epoch#11: total loss=3.0425, Cls_loss=2.4490, Reg_loss=0.0593, Err_test=0.1521, lr = 0.000070
2022/12/23 09:54:23 Epoch#12: total loss=2.9914, Cls_loss=2.4490, Reg_loss=0.0542, Err_test=0.1507, lr = 0.000070
2022/12/23 09:54:59 Epoch#13: total loss=2.9570, Cls_loss=2.4490, Reg_loss=0.0508, Err_test=0.1479, lr = 0.000070
2022/12/23 09:55:36 Epoch#14: total loss=2.9490, Cls_loss=2.4490, Reg_loss=0.0500, Err_test=0.1458, lr = 0.000070
2022/12/23 09:56:13 Epoch#15: total loss=2.9243, Cls_loss=2.4490, Reg_loss=0.0475, Err_test=0.1433, lr = 0.000070
2022/12/23 09:56:50 Epoch#16: total loss=2.9159, Cls_loss=2.4490, Reg_loss=0.0467, Err_test=0.1453, lr = 0.000070
2022/12/23 09:57:28 Epoch#17: total loss=2.9027, Cls_loss=2.4490, Reg_loss=0.0454, Err_test=0.1456, lr = 0.000070
2022/12/23 09:58:05 Epoch#18: total loss=2.8938, Cls_loss=2.4490, Reg_loss=0.0445, Err_test=0.1415, lr = 0.000070
2022/12/23 09:58:41 Epoch#19: total loss=2.8808, Cls_loss=2.4490, Reg_loss=0.0432, Err_test=0.1390, lr = 0.000070
2022/12/23 09:59:18 Epoch#20: total loss=2.8772, Cls_loss=2.4490, Reg_loss=0.0428, Err_test=0.1414, lr = 0.000003
2022/12/23 09:59:55 Epoch#21: total loss=2.8291, Cls_loss=2.4490, Reg_loss=0.0380, Err_test=0.1348, lr = 0.000014
2022/12/23 10:00:31 Epoch#22: total loss=2.8138, Cls_loss=2.4490, Reg_loss=0.0365, Err_test=0.1346, lr = 0.000014
2022/12/23 10:01:08 Epoch#23: total loss=2.8010, Cls_loss=2.4490, Reg_loss=0.0352, Err_test=0.1341, lr = 0.000014
2022/12/23 10:01:45 Epoch#24: total loss=2.7957, Cls_loss=2.4490, Reg_loss=0.0347, Err_test=0.1340, lr = 0.000014
2022/12/23 10:02:22 Epoch#25: total loss=2.7882, Cls_loss=2.4490, Reg_loss=0.0339, Err_test=0.1337, lr = 0.000014
2022/12/23 10:02:58 Epoch#26: total loss=2.7846, Cls_loss=2.4490, Reg_loss=0.0336, Err_test=0.1335, lr = 0.000014
2022/12/23 10:03:35 Epoch#27: total loss=2.7815, Cls_loss=2.4490, Reg_loss=0.0333, Err_test=0.1340, lr = 0.000014
2022/12/23 10:04:12 Epoch#28: total loss=2.7807, Cls_loss=2.4490, Reg_loss=0.0332, Err_test=0.1344, lr = 0.000014
2022/12/23 10:04:48 Epoch#29: total loss=2.7703, Cls_loss=2.4490, Reg_loss=0.0321, Err_test=0.1334, lr = 0.000014
2022/12/23 10:05:25 Epoch#30: total loss=2.7679, Cls_loss=2.4490, Reg_loss=0.0319, Err_test=0.1351, lr = 0.000001
2022/12/23 10:06:01 Epoch#31: total loss=2.7521, Cls_loss=2.4490, Reg_loss=0.0303, Err_test=0.1324, lr = 0.000003
2022/12/23 10:06:40 Epoch#32: total loss=2.7476, Cls_loss=2.4490, Reg_loss=0.0299, Err_test=0.1327, lr = 0.000003
2022/12/23 10:07:16 Epoch#33: total loss=2.7476, Cls_loss=2.4490, Reg_loss=0.0299, Err_test=0.1323, lr = 0.000003
2022/12/23 10:07:53 Epoch#34: total loss=2.7448, Cls_loss=2.4490, Reg_loss=0.0296, Err_test=0.1327, lr = 0.000003
2022/12/23 10:09:50 ======================================================
2022/12/23 10:10:28 Epoch#0: total loss=86.6859, Cls_loss=8.7176, Reg_loss=1.5594, Err_test=0.5381, lr = 0.000350
2022/12/23 10:11:04 Epoch#1: total loss=11.3896, Cls_loss=3.2417, Reg_loss=0.1630, Err_test=0.3843, lr = 0.000350
2022/12/23 10:11:41 Epoch#2: total loss=9.2357, Cls_loss=2.7636, Reg_loss=0.1294, Err_test=0.2854, lr = 0.000350
2022/12/23 10:12:18 Epoch#3: total loss=8.3159, Cls_loss=2.7406, Reg_loss=0.1115, Err_test=0.2704, lr = 0.000350
2022/12/23 10:12:54 Epoch#4: total loss=7.5895, Cls_loss=2.5122, Reg_loss=0.1015, Err_test=0.2546, lr = 0.000350
2022/12/23 10:13:31 Epoch#5: total loss=6.9897, Cls_loss=2.3091, Reg_loss=0.0936, Err_test=0.2156, lr = 0.000350
2022/12/23 10:14:08 Epoch#6: total loss=6.5941, Cls_loss=2.3084, Reg_loss=0.0857, Err_test=0.2133, lr = 0.000350
2022/12/23 10:14:45 Epoch#7: total loss=6.4587, Cls_loss=2.3079, Reg_loss=0.0830, Err_test=0.1872, lr = 0.000350
2022/12/23 10:15:21 Epoch#8: total loss=6.2272, Cls_loss=2.3076, Reg_loss=0.0784, Err_test=0.2000, lr = 0.000350
2022/12/23 10:15:58 Epoch#9: total loss=6.1041, Cls_loss=2.3073, Reg_loss=0.0759, Err_test=0.1861, lr = 0.000350
2022/12/23 10:16:35 Epoch#10: total loss=6.0163, Cls_loss=2.3072, Reg_loss=0.0742, Err_test=0.1926, lr = 0.000014
2022/12/23 10:17:14 Epoch#11: total loss=5.3618, Cls_loss=2.3071, Reg_loss=0.0611, Err_test=0.1504, lr = 0.000070
2022/12/23 10:17:51 Epoch#12: total loss=5.1045, Cls_loss=2.3070, Reg_loss=0.0559, Err_test=0.1529, lr = 0.000070
2022/12/23 10:18:29 Epoch#13: total loss=4.9577, Cls_loss=2.3070, Reg_loss=0.0530, Err_test=0.1480, lr = 0.000070
2022/12/23 10:19:06 Epoch#14: total loss=4.9281, Cls_loss=2.3069, Reg_loss=0.0524, Err_test=0.1477, lr = 0.000070
2022/12/23 10:19:44 Epoch#15: total loss=4.8029, Cls_loss=2.3069, Reg_loss=0.0499, Err_test=0.1444, lr = 0.000070
2022/12/23 10:20:24 Epoch#16: total loss=4.7584, Cls_loss=2.3069, Reg_loss=0.0490, Err_test=0.1490, lr = 0.000070
2022/12/23 10:21:03 Epoch#17: total loss=4.6736, Cls_loss=2.3068, Reg_loss=0.0473, Err_test=0.1448, lr = 0.000070
2022/12/23 10:21:40 Epoch#18: total loss=4.6402, Cls_loss=2.3068, Reg_loss=0.0467, Err_test=0.1430, lr = 0.000070
2022/12/23 10:22:17 Epoch#19: total loss=4.5652, Cls_loss=2.3068, Reg_loss=0.0452, Err_test=0.1419, lr = 0.000070
2022/12/23 10:22:54 Epoch#20: total loss=4.5241, Cls_loss=2.3067, Reg_loss=0.0443, Err_test=0.1399, lr = 0.000003
2022/12/23 10:23:31 Epoch#21: total loss=4.2833, Cls_loss=2.3067, Reg_loss=0.0395, Err_test=0.1351, lr = 0.000014
2022/12/23 10:24:08 Epoch#22: total loss=4.2259, Cls_loss=2.3067, Reg_loss=0.0384, Err_test=0.1353, lr = 0.000014
2022/12/23 10:24:45 Epoch#23: total loss=4.1491, Cls_loss=2.3067, Reg_loss=0.0368, Err_test=0.1342, lr = 0.000014
2022/12/23 10:25:22 Epoch#24: total loss=4.1002, Cls_loss=2.3067, Reg_loss=0.0359, Err_test=0.1343, lr = 0.000014
2022/12/23 10:25:58 Epoch#25: total loss=4.0834, Cls_loss=2.3067, Reg_loss=0.0355, Err_test=0.1344, lr = 0.000014
2022/12/23 10:26:35 Epoch#26: total loss=4.0560, Cls_loss=2.3067, Reg_loss=0.0350, Err_test=0.1341, lr = 0.000014
2022/12/23 10:27:13 Epoch#27: total loss=4.0483, Cls_loss=2.3067, Reg_loss=0.0348, Err_test=0.1345, lr = 0.000014
2022/12/23 10:27:51 Epoch#28: total loss=4.0193, Cls_loss=2.3067, Reg_loss=0.0343, Err_test=0.1343, lr = 0.000014
2022/12/23 10:28:27 Epoch#29: total loss=3.9780, Cls_loss=2.3067, Reg_loss=0.0334, Err_test=0.1336, lr = 0.000014
2022/12/23 10:29:04 Epoch#30: total loss=3.9659, Cls_loss=2.3066, Reg_loss=0.0332, Err_test=0.1342, lr = 0.000001
